hra_id,hra_name,median_income
1,"Enumclaw, Black Diamond, and Southeast King County",94806.67
2,Auburn - South,76575.43
3,Federal Way - Dash Point and Southern Rim,82721.5
4,"Lakeland, Algona, Pacific, and Milton",84091.0
5,Auburn - North,78440.38
6,Federal Way - Central,68967.0
7,Federal Way - North Corridor,62082.67
8,"East Highlands, Hobart, and Greater Maple Valley",115663.67
9,Kent - South,79487.2
10,Maple Valley,110851.5
11,Covington,108193.17
12,Kent - Central,71582.75
13,Kent - West,68044.62
14,Kent - East,86372.0
15,Des Moines and Normandy Park,65718.17
16,Vashon,54771.33
17,Fairwood,95701.0
18,Seatac,71150.71
19,Renton - South,78148.42
20,Burien,76062.0
21,Tukwila,69669.71
22,Newcastle and Four Creeks,122349.6
23,Renton - North,92204.08
24,Skyway,86309.0
25,Snoqualmie and North Bend,145398.5
26,North Highline and White Center,71648.0
27,Seattle - Delridge,77188.0
28,Issaquah,133574.67
29,Seattle - Rainier Valley and Rainier Beach,104333.89
30,"Seattle - South Beacon Hill, Georgetown, and South Park",71074.3
31,Bellevue - South,156979.14
32,Seattle - West Seattle,115976.79
33,Mercer Island and Point Cities,182741.5
34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",92611.22
35,Bellevue - West,154136.0
36,Bellevue - Central,119879.62
37,Sammamish,187360.0
38,"Duvall, Carnation, Skykomish, and Northeast King County",130973.67
39,"Seattle - Downtown, Belltown, and First Hill",87434.36
40,Bellevue - Northeast,130471.21
41,"Montlake, Madison Park, and Madrona",120284.5
42,Seattle - Capitol Hill,90532.0
43,"Seattle - South Lake Union, Cascade, and Eastlake",109995.12
44,Seattle - Queen Anne,108639.12
45,Magnolia and Interbay,120929.9
46,Fremont and Wallingford,92801.54
47,Seattle - University District,82307.0
48,Redmond - South,127883.0
49,"Seattle - Laurelhurst, Sand Point, and Wedgwood",130391.6
50,Seattle - Ravenna and Bryant,113086.14
51,Kirkland - South,124417.4
52,Green Lake and Phinney Ridge,113265.5
53,Redmond - North,129678.25
54,Bear Creek and Greater Sammamish,165925.42
55,Seattle - Ballard,118301.73
56,Seattle - Northgate and Lake City,115609.0
57,Kirkland - North,120498.0
58,"Seattle - Broadview, Haller Lake, and Licton Springs",74708.67
59,Kenmore and Lake Forest Park,116890.22
60,Bothell and Woodinville,111625.78
61,Shoreline,96018.86
