hra_id,hra_name,total_pop,hispanic_latino_pop,white_pop,black_african_american_pop,american_indian_alaska_native_pop,asian_pop,native_hawaiian_other_pacific_islander_pop,other_race_pop,two_or_more_races_pop,hispanic_latino_pop_pct,white_pop_pct,black_african_american_pop_pct,american_indian_alaska_native_pop_pct,asian_pop_pct,native_hawaiian_other_pacific_islander_pop_pct,other_race_pop_pct,two_or_more_races_pop_pct
1,"Enumclaw, Black Diamond, and Southeast King County",64175,6754,44210,2299,1619,3884,696,341,4372,10.52,68.89,3.58,2.52,6.05,1.08,0.53,6.81
2,Auburn - South,31738,8282,14409,1855,936,2783,1174,182,2117,26.09,45.4,5.84,2.95,8.77,3.7,0.57,6.67
3,Federal Way - Dash Point and Southern Rim,41490,6736,16629,5334,250,7170,1908,275,3188,16.24,40.08,12.86,0.6,17.28,4.6,0.66,7.68
4,"Lakeland, Algona, Pacific, and Milton",30212,4762,15422,2224,189,4510,797,217,2091,15.76,51.05,7.36,0.63,14.93,2.64,0.72,6.92
5,Auburn - North,41372,6426,20804,3125,315,6794,1024,200,2684,15.53,50.29,7.55,0.76,16.42,2.48,0.48,6.49
6,Federal Way - Central,36271,6814,16468,4187,205,4757,1109,194,2537,18.79,45.4,11.54,0.57,13.12,3.06,0.53,6.99
7,Federal Way - North Corridor,29403,7583,9393,5060,154,4139,1210,132,1732,25.79,31.95,17.21,0.52,14.08,4.12,0.45,5.89
8,"East Highlands, Hobart, and Greater Maple Valley",38950,2869,27251,1094,175,4232,158,188,2983,7.37,69.96,2.81,0.45,10.87,0.41,0.48,7.66
9,Kent - South,19797,3138,7749,2140,64,4817,526,128,1235,15.85,39.14,10.81,0.32,24.33,2.66,0.65,6.24
10,Maple Valley,11264,926,7839,313,58,1090,23,36,979,8.22,69.59,2.78,0.51,9.68,0.2,0.32,8.69
11,Covington,28358,3049,18577,1246,130,2663,197,186,2310,10.75,65.51,4.39,0.46,9.39,0.69,0.66,8.15
12,Kent - Central,19446,3219,6978,2657,97,4564,460,148,1323,16.55,35.88,13.66,0.5,23.47,2.37,0.76,6.8
13,Kent - West,39177,8180,12906,7005,276,6250,1679,203,2678,20.88,32.94,17.88,0.7,15.95,4.29,0.52,6.84
14,Kent - East,38910,4997,15033,4154,152,11187,778,205,2404,12.84,38.64,10.68,0.39,28.75,2.0,0.53,6.18
